publisher,OAI-URI,number,title,date,#forDPLA,#forPrimo,forArchivesWest?
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:illustrated-booklets&metadataPrefix=oai_dc,29,Illustrated Booklets,2017-08-16,29,29,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:osu-fact-book&metadataPrefix=oai_dc,13,Oregon State University Fact Books,2017-08-24,13,13,no
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:historic_cheney,14,"Historic Images of Cheney, WA",2018-06-04,14,14,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=44,5,"Maps: Japan - 1843 Mount Fuji
",2018-06-28,5,5,no
"University of Washington, Special Collections",http://digitalcollections.lib.washington.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=hester,936,Hester (Wilhelm) Photographs,2017-11-27,0,0,yes
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:general-catalogs&metadataPrefix=oai_dc,142,Oregon State University General Catalogs,2017-10-02,142,142,no
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:gillette,216,Robert W. Gillette,2018-06-05,216,216,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=11,8,Lewis & Clark College: Fir Acres Architectural Sketches,2018-06-28,8,8,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=58,222,Japanese Postcard Collection,2018-06-28,222,222,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=psychiana&metadataPrefix=oai_dc,1323,Psychiana Digital Collection,2017-07-11,1323,1323,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:osu-commencement-programs&metadataPrefix=oai_dc,137,Oregon State University Commencement Programs,2017-08-24,137,137,no
University of Portland,http://cdm16472.contentdm.oclc.org:80/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p16472coll3,120,History of Nursing,2018-06-28,120,120,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=plcphotos&metadataPrefix=oai_dc,1570,Potlatch Lumber Company Photograph Collection,2018-03-01,1570,1570,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1960-1964&metadataPrefix=simple-dublin-core,66,The Crescent: 1960-1964,2017-08-31,66,66,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:jir,37,Journal of the Institute for Research,2018-06-26,37,37,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:cpy_etd,32,Clinical Psychology Dissertations,2018-06-25,32,32,no
"University of Montana, Mansfield Library, Archives and Special Collections",http://scholarworks.umt.edu/do/oai/?verb=ListRecords&metadataPrefix=dcs&set=publication:goedicke,33,Patricia Goedicke and Leonard Wallace Robinson Papers,2017-06-04,0,0,yes
"University of Oregon Libraries, Special Collections and University Archives.",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:joel-palmer&metadataPrefix=oai_dc,5750,Joel Palmer Papers,2017-06-30,5750,5750,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1925-1929&metadataPrefix=simple-dublin-core,89,The Crescent: 1925-1929,2018-06-27,89,89,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=1927,1,Apple Week 1927 Publicity Scrapbook,2018-06-27,1,1,yes
"University of Washington, Special Collections",http://digitalcollections.lib.washington.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=19thcenturyactors,843,Nineteenth (19th) Century Actors and Theater Photographs,20200131,0,0,yes
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1891-1894&metadataPrefix=simple-dublin-core,27,The Crescent: 1891-1894,2018-06-27,27,27,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=klondike,420,Klondike Photographs,2018-06-25,420,420,yes
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&set=publication:blonk&metadataPrefix=simple-dublin-core,697,Hubert Blonk Photographs of Grand Coulee Dam,2018-06-04,697,697,no
"Eastern Washington University, Archives and Special Collections",http://dc.ewu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:iaa,23,Inland Automobile Association,2018-06-04,23,23,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=boxing&metadataPrefix=oai_dc,52,Donald R. Theophilus Boxing Photograph Collection,2018-02-23,52,52,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=spec_cs&metadataPrefix=oai_dc,212,"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",2018-03-01,212,212,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:ken-gray&metadataPrefix=oai_dc,3298,Ken Gray Insect Image Collection,2017-08-16,3298,3298,no
"University of Washington, Special Collections",http://cdm16786.contentdm.oclc.org//oai/oai.php?verb=ListRecords&set=hupy&metadataPrefix=oai_dc,3376,Modern Photographers Collection,2017-06-27,3376,3376,no
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:spseminary_etd,20,Seattle Pacific Seminary Theses,2018-06-25,20,20,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=ui_ep&metadataPrefix=oai_dc,2188,Agricultural and Extension Publications Collection,2018-06-13,2188,2188,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=matsura,1621,Frank S. Matsura Image Collection,2018-06-25,1621,1621,yes
"Utah State University, Merrill-Cazier Library, Special Collections and Archives Division",http://digital.lib.usu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=p16944coll11,126,Orson F. Whitney Diaries,2017-06-09,0,0,yes
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=42,52,"Nineteenth Century Political Party Photograph Collection
",2018-06-28,52,52,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1930-1934&metadataPrefix=simple-dublin-core,93,The Crescent: 1930-1934,2017-08-29,93,93,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=5983,414,"La Fargue, Thomas",20190822,0,0,yes
Reed College,https://rdc.reed.edu/oai?verb=ListRecords&set=wheeler&metadataPrefix=oai_dc,26,Nicholas Wheeler Physics Lectures,2017-09-27,26,26,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=mcwhorter,236,"McWhorter, L.V. Collection",2018-06-25,236,236,yes
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:annual-cruise&metadataPrefix=oai_dc,59,Annual Cruise,2017-10-02,59,59,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=fisher&metadataPrefix=oai_dc,50,Stanton Gilbert Fisher Collection,2018-02-22,50,50,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=ffavery,841,Frank Fuller Avery Photographs,2018-06-25,841,841,yes
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=cvoralhist,8,Civil Rights Oral History Collection,2017-06-04,0,0,yes
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:tesol_etd,2,TESOL Theses,2018-06-25,2,2,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=spec_ji&metadataPrefix=oai_dc,157,"John Edward Iddings, Lantern Slides, 1927",2018-02-23,157,157,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1910-1914&metadataPrefix=simple-dublin-core,42,The Crescent: 1910-1914,2018-06-27,42,42,no
"Boise State University Library, Special Collections and Archives",http://digital.boisestate.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=roach,82,Doc Roach Fire Collection,2017-06-04,0,0,yes
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:soe_etd,36,Education Dissertations,2018-06-25,36,36,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:oregon-state-yank&metadataPrefix=oai_dc,8,Oregon State Yank,2017-08-16,8,8,no
Southern Oregon University,http://cdm16085.contentdm.oclc.org/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p16085coll4,25,Pear Packing - A Season of Women's Work,2017-06-06,25,25,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:osu-alumni-magazine&metadataPrefix=oai_dc,659,Oregon State University Alumni Magazine,2017-08-24,659,659,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1955-1959&metadataPrefix=simple-dublin-core,68,The Crescent: 1955-1959,2017-08-31,68,68,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1970-1974&metadataPrefix=simple-dublin-core,54,The Crescent: 1970-1974,2017-08-31,54,54,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=propaganda,525,Propaganda Posters,2018-07-25,525,525,yes
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p16866coll11,118,Mary Martin Rebow Letters,2018-06-25,118,118,yes
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=lchsphotos&metadataPrefix=oai_dc,153,Latah County Historical Society Photograph Collection,2018-05-15,153,153,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=expforsav&metadataPrefix=oai_dc,848,Experimental Forests and Savenac Nursery Photo Archive,2018-03-01,848,848,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1980-1984&metadataPrefix=simple-dublin-core,30,The Crescent: 1980-1984,2017-08-31,30,30,no
Concordia University,http://commons.cu-portland.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:hahn,57,Stacy Hahn Collection,2018-06-29,0,57,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:crescent_1920-1924&metadataPrefix=simple-dublin-core,76,The Crescent: 1920-1924,2018-06-27,76,76,no
"Lewis & Clark College, Special Collections and Archives",http://digitalcollections.lclark.edu/oai-pmh-repository/request?verb=ListRecords&metadataPrefix=oai_dc&set=14,29,Karl Bodmer Images,2018-06-28,29,29,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=p16866coll2,1,Hubert Adams Scrapbook of Taiwan under Japanese Occupation,2017-06-04,0,0,yes
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:honorsprojects,69,Honors Projects,2017-06-30,69,69,no
"Washington State University Libraries, Manuscripts, Archives, and Special Collections.",http://content.libraries.wsu.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_dc&set=signature,473,Paul Philemon Kies Autograph Collection,2018-06-25,473,473,yes
"University of Washington, Special Collections",http://digitalcollections.lib.washington.edu/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=social,11486,Society and Culture Photographs,2017-11-27,0,0,yes
Seattle Pacific University,http://digitalcommons.spu.edu/do/oai/?verb=ListRecords&metadataPrefix=simple-dublin-core&set=publication:tow_project,53,Theology of Work Project,2018-06-26,53,53,no
"University of Idaho Library, Special Collections and Archives",http://digital.lib.uidaho.edu:80/oai/oai.php?verb=ListRecords&set=crbproj&metadataPrefix=oai_dc,456,Columbia River Basin Project - Dam Construction in the Pacific Northwest,2018-02-22,456,456,no
George Fox University and Northwest Yearly Meeting Archives,http://digitalcommons.georgefox.edu/do/oai/?verb=ListRecords&set=publication:the_academician&metadataPrefix=simple-dublin-core,9,"The Academician"" Student Newspaper""",2017-06-07,9,9,no
"Oregon State University Libraries, Special Collections and Archives Research Center",http://oregondigital.org/oai/?verb=ListRecords&set=oregondigital:oregons-agricultural-progress&metadataPrefix=oai_dc,145,Oregon's Agricultural Progress,2017-08-16,145,145,no
"Boise State University Library, Special Collections and Archives",http://cdm15948.contentdm.oclc.org:80/oai/oai.php?verb=ListRecords&metadataPrefix=oai_qdc&set=p15948coll12,60,Kathleen (Kitty) Gurnsey Collection,2017-06-04,0,0,yes
